Disease,Sex,Age_Group,Count
Thalasemia (D56),Female,(1 - 4),444
"Other anaemias (D51-D55,D57-D64)",Male,(1 - 4),170
"Other anaemias (D51-D55,D57-D64)",Female,(1 - 4),75
Haemorrhagic conditions and other diseases of blood and blood forming organs and certain disorders involving immune mechanism (D65-D89),Male,(1 - 4),606
Haemorrhagic conditions and other diseases of blood and blood forming organs and certain disorders involving immune mechanism (D65-D89),Female,(1 - 4),191
Iodine-deficiency related thyroid disorders (E00-E02),Male,(1 - 4),5
Iodine-deficiency related thyroid disorders (E00-E02),Female,(1 - 4),9
Thyrotoxicosis (E05),Male,(1 - 4),0
Thyrotoxicosis (E05),Female,(1 - 4),3
"Other disorders of thyroid (E03,E04,E06,E07)",Male,(1 - 4),24
"Other disorders of thyroid (E03,E04,E06,E07)",Female,(1 - 4),28
Insulin-dependent diabetes mellitus(E10),Male,(1 - 4),14
Insulin-dependent diabetes mellitus(E10),Female,(1 - 4),25
Non-insulin-dependent diabetes mellitus(E11),Male,(1 - 4),8
Non-insulin-dependent diabetes mellitus(E11),Female,(1 - 4),18
Malnutrition-related diabetes mellitus(E12),Male,(1 - 4),0
Malnutrition-related diabetes mellitus(E12),Female,(1 - 4),0
Other specified diabetes mellitus(E13),Male,(1 - 4),3
Other specified diabetes mellitus(E13),Female,(1 - 4),6
Unspecified diabetes mellitus(E14),Male,(1 - 4),25
Unspecified diabetes mellitus(E14),Female,(1 - 4),18
Kwashiorkor(E40),Male,(1 - 4),1
Kwashiorkor(E40),Female,(1 - 4),0
Nutritional marasmus(E41),Male,(1 - 4),0
Nutritional marasmus(E41),Female,(1 - 4),0
Marasmic kwashiorkor(E42),Male,(1 - 4),0
Marasmic kwashiorkor(E42),Female,(1 - 4),3
Unspecified severe protein-energy malnutrition(E43),Male,(1 - 4),41
Unspecified severe protein-energy malnutrition(E43),Female,(1 - 4),9
Protin-energy malnutrition of moderate and mild degree(E44),Male,(1 - 4),1
Protin-energy malnutrition of moderate and mild degree(E44),Female,(1 - 4),2
Retarded development following protein-energy malnutrition(E45),Male,(1 - 4),3
Retarded development following protein-energy malnutrition(E45),Female,(1 - 4),1
Unspecified protin-energy malnutrition(E46),Male,(1 - 4),22
Unspecified protin-energy malnutrition(E46),Female,(1 - 4),19
Vitamin deficiencies (E50-E56),Male,(1 - 4),32
Vitamin deficiencies (E50-E56),Female,(1 - 4),31
"Other endocrine, nutritional and metabolic disorders (E15-E34,E58-E89)",Male,(1 - 4),235
"Other endocrine, nutritional and metabolic disorders (E15-E34,E58-E89)",Female,(1 - 4),237
"Dementia (F01,F03)",Male,(1 - 4),0
"Dementia (F01,F03)",Female,(1 - 4),0
Mental and behavioural disorders due to use of alcohol (F10),Male,(1 - 4),0
Mental and behavioural disorders due to use of alcohol (F10),Female,(1 - 4),0
Mental and behavioural disorders due to other psychoactive substance use (F11-F19),Male,(1 - 4),0
Mental and behavioural disorders due to other psychoactive substance use (F11-F19),Female,(1 - 4),1
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",Male,(1 - 4),0
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",Female,(1 - 4),0
Mood (affective) disorders (F30-F39),Male,(1 - 4),0
Mood (affective) disorders (F30-F39),Female,(1 - 4),0
"Neurotic, stress-related somatoform disorders (F40-F48)",Male,(1 - 4),0
"Neurotic, stress-related somatoform disorders (F40-F48)",Female,(1 - 4),0
Mental retardation (F70-F79),Male,(1 - 4),8
Mental retardation (F70-F79),Female,(1 - 4),2
Behavioural and emotional disorders with onset usually occuring in childhood and adolescence (F90-F98),Male,(1 - 4),12
Behavioural and emotional disorders with onset usually occuring in childhood and adolescence (F90-F98),Female,(1 - 4),14
"Other mental and behavioural disorders (F04-F09,F50-F69,F80-F89,F99)",Male,(1 - 4),42
"Other mental and behavioural disorders (F04-F09,F50-F69,F80-F89,F99)",Female,(1 - 4),26
"Bacterial meningitis not elsewhere classified (G00,G03)",Male,(1 - 4),413
"Bacterial meningitis not elsewhere classified (G00,G03)",Female,(1 - 4),287
"Encephalitis,myelitis and encephalomyelitis (G04)",Male,(1 - 4),52
"Encephalitis,myelitis and encephalomyelitis (G04)",Female,(1 - 4),52
Intracranial and intraspinal abscess and granuloma(G06),Male,(1 - 4),8
Intracranial and intraspinal abscess and granuloma(G06),Female,(1 - 4),12
Parkinson's disease (G20),Male,(1 - 4),0
Parkinson's disease (G20),Female,(1 - 4),0
Multiple sclerosis (G35),Male,(1 - 4),0
Multiple sclerosis (G35),Female,(1 - 4),0
Epilepsy (G40-G41),Male,(1 - 4),1181
Epilepsy (G40-G41),Female,(1 - 4),959
"Migraine and headache syndrome (G43,G44)",Male,(1 - 4),7
"Migraine and headache syndrome (G43,G44)",Female,(1 - 4),9
Transient cerebral ischaemic attacks and related syndromes (G45),Male,(1 - 4),0
Transient cerebral ischaemic attacks and related syndromes (G45),Female,(1 - 4),1
"Nerve, nerve root and plaxus disorders (G50-G58)",Male,(1 - 4),45
"Nerve, nerve root and plaxus disorders (G50-G58)",Female,(1 - 4),61
Cerebral palsy and other paralytic syndromes (G80-G83),Male,(1 - 4),137
Cerebral palsy and other paralytic syndromes (G80-G83),Female,(1 - 4),78
"Other diseases of nervous system (G08,G12,G21-G31,G36,G37,G47,G60-G72,G90-G98)",Male,(1 - 4),205
"Other diseases of nervous system (G08,G12,G21-G31,G36,G37,G47,G60-G72,G90-G98)",Female,(1 - 4),137
Keratitis and other disorders of sclera and cornea      (H15-H18),Male,(1 - 4),253
Keratitis and other disorders of sclera and cornea      (H15-H18),Female,(1 - 4),175
Cataract and other disorders of lens (H25-H27),Male,(1 - 4),114
Cataract and other disorders of lens (H25-H27),Female,(1 - 4),102
Retinal detachment and breaks (H33),Male,(1 - 4),13
Retinal detachment and breaks (H33),Female,(1 - 4),14
Glaucoma (H40),Male,(1 - 4),15
Glaucoma (H40),Female,(1 - 4),19
Strabismus (H49-H50),Male,(1 - 4),57
Strabismus (H49-H50),Female,(1 - 4),75
"Other diseases of the eye and adnexa (H00-H11,H20,H21,H30,H31,H34,H35,H43-H47,H51-H59)",Male,(1 - 4),1590
"Other diseases of the eye and adnexa (H00-H11,H20,H21,H30,H31,H34,H35,H43-H47,H51-H59)",Female,(1 - 4),1314
Otitis media and other disorders of middle ear and mastoid (H65-H74),Male,(1 - 4),1694
Otitis media and other disorders of middle ear and mastoid (H65-H74),Female,(1 - 4),1457
"Hearing loss (H90,H91)",Male,(1 - 4),75
"Hearing loss (H90,H91)",Female,(1 - 4),92
"Other diseases of the ear and mastoid process (H60,H61,H80-H83,H92-H95)",Male,(1 - 4),1107
"Other diseases of the ear and mastoid process (H60,H61,H80-H83,H92-H95)",Female,(1 - 4),991
Acute rheumatic fever (I00-I02),Male,(1 - 4),18
Acute rheumatic fever (I00-I02),Female,(1 - 4),17
Chronic rheumatic heart disease (I05-I09),Male,(1 - 4),0
Chronic rheumatic heart disease (I05-I09),Female,(1 - 4),3
Essential hypertension (I10),Male,(1 - 4),0
Essential hypertension (I10),Female,(1 - 4),0
Hypertensive heart disease (I11),Male,(1 - 4),0
Hypertensive heart disease (I11),Female,(1 - 4),0
Other hypertensive diseases (I12-I15),Male,(1 - 4),0
Other hypertensive diseases (I12-I15),Female,(1 - 4),0
"Acute myocardial infarction (I21,I22)",Male,(1 - 4),0
"Acute myocardial infarction (I21,I22)",Female,(1 - 4),0
"Other ischaemic heart disease  (I20,I23-I25)",Male,(1 - 4),0
"Other ischaemic heart disease  (I20,I23-I25)",Female,(1 - 4),0
Pulmonary embolism (I26),Male,(1 - 4),0
Pulmonary embolism (I26),Female,(1 - 4),0
Cor pulmonale (I27.9),Male,(1 - 4),1
Cor pulmonale (I27.9),Female,(1 - 4),4
Heart failure (I50),Male,(1 - 4),8
Heart failure (I50),Female,(1 - 4),8
"Other heart diseases (I27.0-I27.8, I28-I49,I51)",Male,(1 - 4),48
"Other heart diseases (I27.0-I27.8, I28-I49,I51)",Female,(1 - 4),34
Cerebroavascular disease (I60-I69),Male,(1 - 4),23
Cerebroavascular disease (I60-I69),Female,(1 - 4),10
Atherosclerosis (I70),Male,(1 - 4),0
Atherosclerosis (I70),Female,(1 - 4),0
Arterial embolism and thrombosis (I74),Male,(1 - 4),0
Arterial embolism and thrombosis (I74),Female,(1 - 4),1
"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",Male,(1 - 4),2
"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",Female,(1 - 4),4
"Phlebitis, thrombophlebitis, venous embolism and thrombosis (I80-I82)",Male,(1 - 4),6
"Phlebitis, thrombophlebitis, venous embolism and thrombosis (I80-I82)",Female,(1 - 4),5
Vericose veins of lower extremities (I83),Male,(1 - 4),7
Vericose veins of lower extremities (I83),Female,(1 - 4),3
Haemorrhoids (I84),Male,(1 - 4),11
Haemorrhoids (I84),Female,(1 - 4),8
Other diseases of the circulatory system (I85-I99),Male,(1 - 4),112
Other diseases of the circulatory system (I85-I99),Female,(1 - 4),85
Acute sinusitis and acute tonsillitis (J01-J03),Male,(1 - 4),2952
Acute sinusitis and acute tonsillitis (J01-J03),Female,(1 - 4),2084
"Other acute upper respiratory infections (J00,J02,J04-J06)",Male,(1 - 4),9618
"Other acute upper respiratory infections (J00,J02,J04-J06)",Female,(1 - 4),7993
Influenza (J10-J11),Male,(1 - 4),98
Influenza (J10-J11),Female,(1 - 4),151
Pneumonia (J12-J18),Male,(1 - 4),2028
Pneumonia (J12-J18),Female,(1 - 4),1783
Acute bronchitis (J20),Male,(1 - 4),2425
Acute bronchitis (J20),Female,(1 - 4),2240
Acute bronchiolitis (J21),Male,(1 - 4),1713
Acute bronchiolitis (J21),Female,(1 - 4),1272
Other diseases of the upper respiratory tract (J30-J39),Male,(1 - 4),2180
Other diseases of the upper respiratory tract (J30-J39),Female,(1 - 4),1702
"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",Male,(1 - 4),490
"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",Female,(1 - 4),485
Asthma (J45-J46),Male,(1 - 4),7743
Asthma (J45-J46),Female,(1 - 4),6145
Bronchiectasis (J47),Male,(1 - 4),0
Bronchiectasis (J47),Female,(1 - 4),0
"Other diseases of the respiratory system(J22,J60-J98)",Male,(1 - 4),21344
"Other diseases of the respiratory system(J22,J60-J98)",Female,(1 - 4),18005
Diseases of teeth and supporting structure (K00-K08),Male,(1 - 4),636
Diseases of teeth and supporting structure (K00-K08),Female,(1 - 4),531
"Other diseases of the oral cavity, salivary glands and jaws (K09-K14)",Male,(1 - 4),292
"Other diseases of the oral cavity, salivary glands and jaws (K09-K14)",Female,(1 - 4),253
"Gastric and duodenal ulcer, peptic ulcer site unspecified and gastrojejunal ulcer (K25-K28)",Male,(1 - 4),72
"Gastric and duodenal ulcer, peptic ulcer site unspecified and gastrojejunal ulcer (K25-K28)",Female,(1 - 4),73
Gastritis and duodenitis (K29),Male,(1 - 4),1306
Gastritis and duodenitis (K29),Female,(1 - 4),1274
"Other diseases of oesophagus, stomach and duodenum (K20-K22,K30-K31)",Male,(1 - 4),259
"Other diseases of oesophagus, stomach and duodenum (K20-K22,K30-K31)",Female,(1 - 4),262
Diseases of appendix (K35-K38),Male,(1 - 4),204
Diseases of appendix (K35-K38),Female,(1 - 4),151
Hernia (K40-K46),Male,(1 - 4),933
Hernia (K40-K46),Female,(1 - 4),542
Noninfective enteritis and colitis (K50-K52),Male,(1 - 4),447
Noninfective enteritis and colitis (K50-K52),Female,(1 - 4),392
Other diseases of intestines and peritoneum (K55-K66),Male,(1 - 4),948
Other diseases of intestines and peritoneum (K55-K66),Female,(1 - 4),734
Alcoholic liver disease (K70),Male,(1 - 4),1
Alcoholic liver disease (K70),Female,(1 - 4),0
Other diseases of liver (K71-K76),Male,(1 - 4),52
Other diseases of liver (K71-K76),Female,(1 - 4),42
"Cholelithiasis and cholecystitis (K80,K81)",Male,(1 - 4),20
"Cholelithiasis and cholecystitis (K80,K81)",Female,(1 - 4),24
"Acute pancreatitis and other diseases of the pancreas (K85,K86)",Male,(1 - 4),18
"Acute pancreatitis and other diseases of the pancreas (K85,K86)",Female,(1 - 4),15
"Other diseases of the digestive system (K82-K83,K90-K92)",Male,(1 - 4),384
"Other diseases of the digestive system (K82-K83,K90-K92)",Female,(1 - 4),511
Infections of skin and subcutaneous tissue (L00-L08),Male,(1 - 4),5151
Infections of skin and subcutaneous tissue (L00-L08),Female,(1 - 4),4897
Other diseases of skin and subcutaneous tissue (L10-L98),Male,(1 - 4),2480
Other diseases of skin and subcutaneous tissue (L10-L98),Female,(1 - 4),2027
"Disorders of joints (M00-M02,M15-M25)",Male,(1 - 4),420
"Disorders of joints (M00-M02,M15-M25)",Female,(1 - 4),312
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Male,(1 - 4),89
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Female,(1 - 4),58
Systemic connective tissue disorders (M30-M35),Male,(1 - 4),27
Systemic connective tissue disorders (M30-M35),Female,(1 - 4),24
Soft tissue disorders (M60-M79),Male,(1 - 4),289
Soft tissue disorders (M60-M79),Female,(1 - 4),235
Osteomyelitis (M86),Male,(1 - 4),13
Osteomyelitis (M86),Female,(1 - 4),6
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Male,(1 - 4),140
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Female,(1 - 4),110
Glomerular diseases (N00-N07),Male,(1 - 4),502
Glomerular diseases (N00-N07),Female,(1 - 4),329
Infections of the kidney (N10-N12),Male,(1 - 4),170
Infections of the kidney (N10-N12),Female,(1 - 4),145
Renal failure (N17-N19),Male,(1 - 4),65
Renal failure (N17-N19),Female,(1 - 4),46
Urolithiasis (N20-N23),Male,(1 - 4),174
Urolithiasis (N20-N23),Female,(1 - 4),92
Diseases of breast (N60-N64),Male,(1 - 4),47
Diseases of breast (N60-N64),Female,(1 - 4),90
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Male,(1 - 4),3548
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Female,(1 - 4),3423
Hyperplasia of prostate (N40),Male,(1 - 4),29
Hyperplasia of prostate (N40),Female,(1 - 4),0
Hydrocele and spermatocele (N43),Male,(1 - 4),254
Hydrocele and spermatocele (N43),Female,(1 - 4),0
"Other diseases of the male genital organs (N41,N42,N44-N50)",Male,(1 - 4),1349
"Other diseases of the male genital organs (N41,N42,N44-N50)",Female,(1 - 4),0
Salpingitis and oophoritis (N70),Male,(1 - 4),0
Salpingitis and oophoritis (N70),Female,(1 - 4),22
Female genital prolapse (N81),Male,(1 - 4),0
Female genital prolapse (N81),Female,(1 - 4),32
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Male,(1 - 4),0
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Female,(1 - 4),235
Abortions (O00-O08),Male,(1 - 4),0
Abortions (O00-O08),Female,(1 - 4),0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Male,(1 - 4),0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Female,(1 - 4),0
Supervision of high risk pregnancy (Z35),Male,(1 - 4),0
Supervision of high risk pregnancy (Z35),Female,(1 - 4),0
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Male,(1 - 4),0
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Female,(1 - 4),0
False Labour (O47),Male,(1 - 4),0
False Labour (O47),Female,(1 - 4),0
Those admitted and discharged before delivery (Distance from hospital etc.),Male,(1 - 4),0
Those admitted and discharged before delivery (Distance from hospital etc.),Female,(1 - 4),0
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Male,(1 - 4),0
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Female,(1 - 4),0
Obstructed Labour (O64-O66),Male,(1 - 4),0
Obstructed Labour (O64-O66),Female,(1 - 4),0
Post parturm haemorrhage (O72),Male,(1 - 4),0
Post parturm haemorrhage (O72),Female,(1 - 4),0
Single spontaneous delivery (O80),Male,(1 - 4),0
Single spontaneous delivery (O80),Female,(1 - 4),0
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Male,(1 - 4),0
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Female,(1 - 4),0
Complications predominantly related to the puerperium (O85-O92),Male,(1 - 4),0
Complications predominantly related to the puerperium (O85-O92),Female,(1 - 4),0
Other obstetric conditions not elsewhere classified (O95-O99),Male,(1 - 4),0
Other obstetric conditions not elsewhere classified (O95-O99),Female,(1 - 4),0
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Male,(1 - 4),23
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Female,(1 - 4),29
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Male,(1 - 4),81
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Female,(1 - 4),99
Birth trauma (P10-P15),Male,(1 - 4),10
Birth trauma (P10-P15),Female,(1 - 4),14
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Male,(1 - 4),313
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Female,(1 - 4),237
Haemolytic disease of fetus and new born (P55),Male,(1 - 4),12
Haemolytic disease of fetus and new born (P55),Female,(1 - 4),21
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Male,(1 - 4),378
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Female,(1 - 4),301
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Male,(1 - 4),30
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Female,(1 - 4),18
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Male,(1 - 4),27
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Female,(1 - 4),18
Congenital malformations of the circulatory system (Q20-Q28),Male,(1 - 4),371
Congenital malformations of the circulatory system (Q20-Q28),Female,(1 - 4),436
Cleft lip and cleft palate (Q35-Q37),Male,(1 - 4),330
Cleft lip and cleft palate (Q35-Q37),Female,(1 - 4),284
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Male,(1 - 4),1981
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Female,(1 - 4),734
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Male,(1 - 4),29
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Female,(1 - 4),37
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Male,(1 - 4),2866
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Female,(1 - 4),2162
Symptoms and signs involving the digestive system and abdomen (R10-R19),Male,(1 - 4),3283
Symptoms and signs involving the digestive system and abdomen (R10-R19),Female,(1 - 4),3057
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Male,(1 - 4),738
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Female,(1 - 4),655
Fever of unknown origin (R50),Male,(1 - 4),3091
Fever of unknown origin (R50),Female,(1 - 4),2394
Headache (R51),Male,(1 - 4),176
Headache (R51),Female,(1 - 4),180
Senility (R54),Male,(1 - 4),0
Senility (R54),Female,(1 - 4),0
"Convulsions, not elsewhere classified (R56)",Male,(1 - 4),7832
"Convulsions, not elsewhere classified (R56)",Female,(1 - 4),6159
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Male,(1 - 4),3303
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Female,(1 - 4),2640
Abnormal findings in investigations not elsewhere classified (R70-R94),Male,(1 - 4),165
Abnormal findings in investigations not elsewhere classified (R70-R94),Female,(1 - 4),110
Ill-defined and unknown causes of mortality (R95-R99),Male,(1 - 4),52
Ill-defined and unknown causes of mortality (R95-R99),Female,(1 - 4),36
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Male,(1 - 4),7631
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Female,(1 - 4),5719
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Male,(1 - 4),2066
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Female,(1 - 4),1629
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Male,(1 - 4),202
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Female,(1 - 4),151
Injury to eye and orbit (S05),Male,(1 - 4),823
Injury to eye and orbit (S05),Female,(1 - 4),573
Intracranial injuries (S06),Male,(1 - 4),332
Intracranial injuries (S06),Female,(1 - 4),296
"Injury of other internal organs (S26,S27,S36,S37)",Male,(1 - 4),120
"Injury of other internal organs (S26,S27,S36,S37)",Female,(1 - 4),90
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Male,(1 - 4),869
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Female,(1 - 4),659
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Male,(1 - 4),7662
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Female,(1 - 4),5397
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Male,(1 - 4),64
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Female,(1 - 4),68
Bitten or struck by dog (W54),Male,(1 - 4),3331
Bitten or struck by dog (W54),Female,(1 - 4),2285
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Male,(1 - 4),6779
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Female,(1 - 4),5326
Effects of foregin body entering through orifice (T15-T19),Male,(1 - 4),5005
Effects of foregin body entering through orifice (T15-T19),Female,(1 - 4),5224
Burns and corrosion confined to eye and adnexa (T26),Male,(1 - 4),227
Burns and corrosion confined to eye and adnexa (T26),Female,(1 - 4),175
"All other burns and corrosions (T20-T25,T27-T32)",Male,(1 - 4),1678
"All other burns and corrosions (T20-T25,T27-T32)",Female,(1 - 4),1438
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Male,(1 - 4),1017
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Female,(1 - 4),851
Toxic effects of organophosphate and carbamate insecticides (T60.0),Male,(1 - 4),221
Toxic effects of organophosphate and carbamate insecticides (T60.0),Female,(1 - 4),190
Toxic effects of other pesticides (T60.1-T60.9),Male,(1 - 4),209
Toxic effects of other pesticides (T60.1-T60.9),Female,(1 - 4),171
Snake bites (T63.0),Male,(1 - 4),650
Snake bites (T63.0),Female,(1 - 4),520
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Male,(1 - 4),1753
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Female,(1 - 4),1280
"Other unspecified effects of external causes (T33-T35,T66-T78)",Male,(1 - 4),1702
"Other unspecified effects of external causes (T33-T35,T66-T78)",Female,(1 - 4),1299
Certain early complications of trauma (T79),Male,(1 - 4),231
Certain early complications of trauma (T79),Female,(1 - 4),183
Complications of surgical and medical care not elsewhere classified (T80-T88),Male,(1 - 4),371
Complications of surgical and medical care not elsewhere classified (T80-T88),Female,(1 - 4),334
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Male,(1 - 4),144
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Female,(1 - 4),125
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Male,(1 - 4),18650
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Female,(1 - 4),13642
Sterilization (Z30.2)(admissions only for sterilization),Male,(1 - 4),0
Sterilization (Z30.2)(admissions only for sterilization),Female,(1 - 4),0
Undiagnosed / Uncoded,Male,(1 - 4),7191
Undiagnosed / Uncoded,Female,(1 - 4),6410
Total,Male,(1 - 4),215394
Total,Female,(1 - 4),176797
Cholera (A00),Male,(5 - 16),0
Typhoid and para typhoid fever (A01),Male,(5 - 16),267
Typhoid and para typhoid fever (A01),Female,(5 - 16),208
Shigellosis (A03),Male,(5 - 16),229
Shigellosis (A03),Female,(5 - 16),219
Amoebiasis with liver abscess(A06.4),Male,(5 - 16),4
Amoebiasis with liver abscess(A06.4),Female,(5 - 16),1
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Male,(5 - 16),85
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Female,(5 - 16),106
"Food poisoning (A02.0,A05)",Male,(5 - 16),498
"Food poisoning (A02.0,A05)",Female,(5 - 16),648
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Male,(5 - 16),9303
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Female,(5 - 16),9276
"Other intestinal infectious diseases (A04,A07,A08)",Male,(5 - 16),452
"Other intestinal infectious diseases (A04,A07,A08)",Female,(5 - 16),417
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Male,(5 - 16),27
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Female,(5 - 16),36
Tuberculosis of lung not confirmed (A16-A16.2),Male,(5 - 16),18
Tuberculosis of lung not confirmed (A16-A16.2),Female,(5 - 16),34
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Male,(5 - 16),28
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Female,(5 - 16),36
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Male,(5 - 16),22
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Female,(5 - 16),20
